Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16531684,23F2003488,"2026-07-13 14:06:13",0.76764,10,priyanshuagarwal18
2,16515844,22f3002680,"2026-07-13 18:53:14",0.76738,11,somsubhrad
3,16516392,23f1001171,"2026-07-13 17:34:31",0.76686,8,piushdasss
4,16517618,"BALASURYA K","2026-07-13 14:30:24",0.76608,12,balasuryak02
5,16515817,22F2001554,"2026-07-13 13:36:13",0.76583,7,ishanshishodiya
6,16516302,22f3002224,"2026-07-13 12:44:06",0.76531,9,iitms5mlp
7,16537945,"Abhimanyu Dwivedi","2026-07-13 16:37:18",0.76117,2,abhimanyudwivedi19
8,16530634,22f1001105,"2026-07-13 16:44:57",0.76014,7,gauravkumariitm
9,16515944,23F3002196,"2026-07-12 15:58:59",0.75678,12,shusmitsarkar
10,16516434,23F2004880,"2026-07-13 02:08:23",0.75652,5,autumnzephyr
11,16517622,Dummy,"2026-07-13 17:19:20",0.75600,5,slyofzero
12,16535143,"Honey Agarwal","2026-07-13 17:33:19",0.75600,5,honeyagarwal18
13,16515950,23F2001005,"2026-07-12 15:00:21",0.75342,7,akshatshethia
14,16532440,"Himanshu Saini","2026-07-12 05:02:52",0.75316,2,himanshufromiitm
15,16516348,22F1001543,"2026-07-13 19:02:27",0.75213,3,karteektadimalla
16,16516915,23F2002205,"2026-07-12 14:49:01",0.75109,6,pawarlalithseervi
17,16537305,MriDevi,"2026-07-13 22:11:39",0.75084,4,mridevi
18,16516732,24f2008495,"2026-07-12 13:56:07",0.75058,2,dhruvagoyal1
19,16516300,23f1001572,"2026-07-13 19:45:13",0.74980,8,abhisheksaha407
20,16534953,"SARTHAK SAINI","2026-07-13 05:59:00",0.74928,3,sarthak265
21,16537159,21f1005265,"2026-07-13 17:35:34",0.74851,2,arjyadutta
22,16531601,"Cyrus The Great","2026-07-13 00:57:10",0.74825,4,datakiscience
23,16516313,22f3001454,"2026-07-12 19:02:55",0.74670,5,praveena2902
24,16531043,23f1002643,"2026-07-13 18:39:02",0.74670,4,saininirmal
25,16533504,21f1000601,"2026-07-13 21:12:07",0.74618,4,rituparnodhar
26,16515869,23f3004148,"2026-07-13 16:10:25",0.74515,11,mohdshad
27,16534385,22f3000089,"2026-07-13 00:03:48",0.74515,1,samreenfathimas
28,16516580,23f3002416,"2026-07-12 16:18:24",0.74489,7,puneetbajajiitm
29,16531201,Nirmalbhai,"2026-07-12 23:31:50",0.74489,4,nirmalbhai
30,16536655,"Vamsi Praveen P","2026-07-13 17:11:18",0.74463,2,vamsipraveenp
31,16533416,21f2000615,"2026-07-13 15:19:18",0.74437,2,hiigaurav
32,16517211,NPPE1_26F2,"2026-07-11 22:17:34",0.74386,1,iitmbsnppe1
33,16536622,23F2004165,"2026-07-13 17:15:54",0.74386,4,kummishifa
34,16533660,"Abhishek Saha","2026-07-13 09:43:37",0.74360,4,abhisheksaha0
35,16532457,testaccp,"2026-07-12 09:14:57",0.74308,2,testaccp
36,16531992,23f3003434,"2026-07-13 17:01:38",0.74308,4,prashaccount
37,16532227,Abhishakti,"2026-07-13 06:49:54",0.74282,2,abhishakti
38,16515912,23f2004912,"2026-07-13 16:56:01",0.74282,4,abhijeet23f2004912
39,16516998,23f2004752,"2026-07-11 22:36:55",0.74256,3,anshbansal10
40,16531753,MM22B056,"2026-07-12 16:34:41",0.74256,3,shrikm
41,16516754,22F1001871,"2026-07-13 12:08:53",0.74153,7,lalluprasanthp
42,16517216,23F3001356,"2026-07-12 18:35:33",0.74050,8,shahbaazsingh
43,16530617,22f3002119,"2026-07-13 16:23:55",0.74024,6,kantpiyush2024
44,16516272,22F3003201,"2026-07-13 04:51:08",0.73998,2,abhishekpandia
45,16536240,22f3002612,"2026-07-13 19:45:37",0.73972,3,clyrmze
46,16535060,21f1006285,"2026-07-13 13:44:22",0.73920,1,ashishguptaiit
47,16531440,22f1001555,"2026-07-13 17:23:15",0.73895,3,abhijitnandi007
48,16531610,Robert,"2026-07-12 16:04:45",0.73791,8,tanishqsingh81
49,16535999,22F3002782,"2026-07-13 17:39:05",0.73765,2,abhinavvjaswal
50,16532407,23f1002495,"2026-07-13 04:18:09",0.73714,2,pbvakhilesh
51,16531379,22f3002597,"2026-07-13 17:14:38",0.73610,5,skdev03
52,16516989,22f3001120,"2026-07-13 14:12:10",0.73584,3,sohamabhaypimprikar
53,16530750,22F3001988,"2026-07-13 17:23:43",0.73559,3,ssrini2002
54,16517629,23f3004144,"2026-07-13 15:35:33",0.73559,8,patraakash98
55,16530625,21f1001940,"2026-07-13 03:55:48",0.73533,4,bhupendrakurmi
56,16534331,22f3002758,"2026-07-13 06:25:45",0.73533,7,tarikasubhashhedaoo
57,16515831,21f3001516,"2026-07-12 20:51:10",0.73481,4,tanishqsinghiitm
58,16530723,22f2001018,"2026-07-13 03:44:30",0.73481,6,jatinyadaviitm
59,16517377,21f2000490,"2026-07-13 17:49:11",0.73481,3,bbalakrishnan
60,16515866,22F3002094,"2026-07-13 18:26:21",0.73481,4,thehimanshhu
61,16515918,24f2000934,"2026-07-13 18:09:35",0.73429,6,vedantmgoyal
62,16517049,23f2004126,"2026-07-13 16:44:41",0.73429,1,aanchalroutela
63,16516234,21f1004098,"2026-07-13 13:04:59",0.73403,6,tejaspradeepsawant
64,16530908,iitm21f1003767,"2026-07-13 10:08:16",0.73300,5,iitm21f1003767
65,16535090,"Kaustubh  Dwivedi","2026-07-12 18:03:31",0.73274,1,ramshivaay
66,16517626,me24b147,"2026-07-13 14:51:04",0.73223,7,ksrohit26
67,16534017,22f3000448,"2026-07-12 19:51:58",0.73171,1,veekshi28
68,16535044,"Ultimate Gamers Creed","2026-07-12 20:27:29",0.73145,5,ultimategamerscreed
69,16532121,22f1001805,"2026-07-13 17:29:00",0.73119,6,antifragile2
70,16515837,21f2000639,"2026-07-12 05:30:05",0.72990,1,gaurangidhuri27
71,16515945,21F2000709,"2026-07-13 13:58:35",0.72964,12,pradeepmnl
72,16533793," Sirius_21f1001124","2026-07-13 14:19:54",0.72887,3,sirius21f1001124
73,16517709,21F3000591,"2026-07-11 22:16:31",0.72835,3,shubhranshusharma
74,16531162,21f1002300,"2026-07-13 19:13:33",0.72809,3,iitm21f1002300
75,16517467,22f2001061,"2026-07-13 18:35:52",0.72757,7,karanpatil2000
76,16516181,23F2003824,"2026-07-12 12:32:20",0.72628,4,shri172004
77,16517471,23f1000026,"2026-07-12 22:10:45",0.72628,3,venkatvaradarajan
78,16533911,22f3001144,"2026-07-13 20:06:32",0.72628,2,sohanvriitm
79,16534737,22f3001809,"2026-07-12 19:33:59",0.72447,1,illogicalapple
80,16516304,21f1005948,"2026-07-13 09:08:57",0.72344,4,aman7717
81,16538157,21f1007112,"2026-07-13 15:31:05",0.72189,2,maitryrai
82,16534198,22F3000082,"2026-07-13 17:18:19",0.71930,2,ayushidixitt
83,16516370,22f2000846,"2026-07-12 14:38:04",0.71904,6,chidanandhcna
