Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16683892,24f2000934,"2026-08-10 18:16:45",0.00000,9,vedantmgoyal
2,16701469,"BALASURYA K","2026-08-10 15:30:57",0.00000,1,balasuryak02
3,16699103,21f1005265,"2026-08-10 16:50:57",0.00000,4,arjyadutta
4,16687088,21f2000615,"2026-08-09 19:04:22",0.00002,2,hiigaurav
5,16686341,23f3004148,"2026-08-10 18:15:10",0.00014,7,mohdshad
6,16686931,Evan,"2026-08-08 13:39:56",0.00053,1,vamsipraveenp
7,16684081,23F2001005,"2026-08-08 04:24:46",0.00190,6,akshatshethia
8,16689882,21f1003767,"2026-08-09 02:59:37",0.00389,2,iitm21f1003767
9,16685438,22f3000448,"2026-08-10 14:39:29",0.00473,3,veekshi28
10,16689085,"VEEKSHITHA THAMMANA","2026-08-10 03:55:21",0.00506,3,veekshitha28
11,16691543,22f2001554,"2026-08-10 17:32:38",0.00633,9,ishanshishodiya
12,16686806,21f3000632,"2026-08-09 19:12:04",0.00647,8,a21f3000632
13,16684660,22f3002094,"2026-08-08 15:02:00",0.00707,7,thehimanshhu
14,16684841,21f1006434,"2026-08-10 05:01:23",0.00800,1,iitm21f1006434
15,16689278,23f1001898,"2026-08-09 06:12:12",0.00844,4,omkarpawar8
16,16694619,24f2008495,"2026-08-10 00:46:31",0.00861,1,dhruvagoyal1
17,16685565,22f3002758,"2026-08-10 07:27:20",0.00888,4,tarikasubhashhedaoo
18,16693024,"Senthilkumar Natarajan","2026-08-09 18:21:52",0.00972,1,bondnsk
19,16684089,22f3002612,"2026-08-10 06:23:35",0.01141,3,clyrmze
20,16688906,21f2000490,"2026-08-10 14:10:24",0.01160,6,bbalakrishnan
21,16684034,22f3001103,"2026-08-10 18:23:00",0.01163,7,kohilsharma
22,16684205,23F2002205,"2026-08-09 00:46:10",0.01290,4,pawarlalithseervi
23,16684306,23f2003488,"2026-08-10 16:00:53",0.01335,4,priyanshuagarwal18
24,16684005,22F3002224,"2026-08-09 10:26:15",0.01471,5,iitms5mlp
25,16689415,someone,"2026-08-09 15:22:47",0.01523,3,pulkitmangal
26,16688961,21f1005420,"2026-08-10 10:11:21",0.01683,5,aishwaryayegneshwar
27,16683907,22f3002680,"2026-08-10 17:18:10",0.01691,6,somsubhrad
28,16699149,"panchi banu udta phiru","2026-08-10 16:33:30",0.01706,1,panchibanuudtaphiru
29,16686188,23F2004126,"2026-08-10 17:22:20",0.01707,1,aanchalroutela
30,16684531,22f3001778,"2026-08-10 11:16:48",0.01712,3,deepaksangh41
31,16685461,21f3001516,"2026-08-10 01:44:03",0.01732,3,tanishqsinghiitm
32,16684111,23f2003807,"2026-08-10 10:03:30",0.01743,4,jashmevada
33,16684216,22f3001988,"2026-08-09 19:36:48",0.01807,11,ssrini2002
34,16685322,22f3002277,"2026-08-10 12:46:28",0.01979,8,bryandavidrobinson
35,16683947,22f3000528,"2026-08-10 16:16:47",0.01989,7,muralidhar5613
36,16684421,22f3002119,"2026-08-10 09:30:42",0.02055,6,kantpiyush2024
37,16684456,22f1001105,"2026-08-09 08:47:45",0.02180,9,gauravkumariitm
38,16690026,22F3002597,"2026-08-10 17:25:01",0.02232,2,skdev03
39,16691213,22f1001805,"2026-08-10 07:06:02",0.02405,5,antifragile2
40,16684178,23f1001572,"2026-08-10 17:43:24",0.02536,6,abhisheksaha407
41,16690105,21f3002241,"2026-08-10 16:07:30",0.02547,9,rohitvishwasshinde
42,16690355,21f3002640,"2026-08-10 17:48:02",0.02568,4,sharmamahesh01
43,16684697,22F3001517,"2026-08-10 17:58:34",0.02590,6,anant44
44,16689118,Kshitij_121,"2026-08-08 14:57:44",0.02594,1,kshitij121
45,16693700,23f1001171,"2026-08-10 07:18:11",0.02614,5,testaccp
46,16686277,21f1000601,"2026-08-09 15:10:18",0.02635,2,rituparnodhar
47,16688619,23f2000473,"2026-08-10 03:05:01",0.02717,5,piratewiz99
48,16694475,21f1001940,"2026-08-10 15:20:53",0.02845,2,bhupendrakurmi
49,16696761,23f1000561,"2026-08-10 11:44:05",0.02904,3,mohitkumarb1i
50,16684763,ShriKM,"2026-08-10 07:11:57",0.03063,1,shrikm
51,16684668,21f1004098,"2026-08-10 17:10:43",0.03085,7,tejaspradeepsawant
52,16683966,23f2004188,"2026-08-09 20:36:58",0.03119,4,venkateshthatha
53,16693986,22F3000089,"2026-08-10 12:28:36",0.03134,2,samreenfathimas
54,16692415,21f1006017,"2026-08-09 20:34:45",0.03134,1,sanjeevkiitm
55,16699750,23f1002643,"2026-08-10 16:54:01",0.03247,1,ranchodaschanchad
56,16690054,"Phunsukh Wangdu","2026-08-10 18:22:00",0.03247,7,saininirmal
57,16687543,23f1001632,"2026-08-10 16:52:07",0.03300,5,sundareshkarthicg
58,16692960,Dummy,"2026-08-10 11:10:44",0.03328,6,slyofzero
59,16691929,21f2000987,"2026-08-10 15:06:45",0.03413,2,parashmanidatta
60,16684596,22f3003030,"2026-08-10 10:24:48",0.03442,7,sankalpasarkar1101
61,16684782,23F2004880,"2026-08-10 16:57:18",0.03512,4,autumnzephyr
62,16690478,s172004,"2026-08-08 19:31:40",0.03517,1,s172004
63,16684026,23F3001356,"2026-08-10 03:07:26",0.03557,4,shahbaazsingh
64,16684136,23f3004144,"2026-08-09 03:27:35",0.03566,4,patraakash98
65,16699841,22f3001454,"2026-08-10 15:21:36",0.03614,1,pranavn12
66,16685939,22f2001632,"2026-08-10 13:32:10",0.03646,4,tannu20114
67,16683916,22f2001061,"2026-08-10 16:21:00",0.03765,1,karanpatil2000
68,16684538,21F2000709,"2026-08-08 18:02:09",0.03820,3,pradeepmnl
69,16684572,23f2004965,"2026-08-09 19:03:09",0.03823,3,ashishpanghal
70,16690764,22f3001534,"2026-08-09 19:05:14",0.03985,3,divyanshtiwarii
71,16688513,23f2003824,"2026-08-08 20:15:28",0.04020,2,shri172004
72,16695368,23F3001747,"2026-08-10 08:06:40",0.04063,3,utkarshwizard
73,16685956,23f1000026,"2026-08-10 07:59:35",0.04120,4,venkatvaradarajan
74,16687212,23F2004752,"2026-08-08 21:18:08",0.04164,2,anshbansal10
75,16686560,23F2005059,"2026-08-10 16:05:41",0.04169,4,someone321123
76,16695723,21f1006285,"2026-08-10 13:19:22",0.04224,3,ashishguptaiit
77,16692265,23f2005347,"2026-08-10 07:33:32",0.04287,1,sarthak265
78,16685240,"Abhishek Kumar","2026-08-09 15:50:36",0.04323,1,abhishekyadav73
79,16696272,22f3001954,"2026-08-09 17:42:31",0.04345,1,srupat
80,16693286,Riya,"2026-08-10 12:57:08",0.04520,4,praveena2902
81,16698770,23f1002829,"2026-08-10 11:16:07",0.04550,1,vidhyasaagar
82,16689061,XYZ,"2026-08-09 19:05:33",0.04577,4,ultimategamerscreed
83,16683902,21f3000180,"2026-08-10 18:16:05",0.04591,3,yuvrajsharmaiitm
84,16691930,Nirmalbhai,"2026-08-10 05:46:53",0.04608,1,nirmalbhai
85,16699298,22F3000985,"2026-08-10 14:25:39",0.04762,2,mdayanarshad
86,16686297,23f1002786,"2026-08-09 04:27:24",0.04805,1,user101again
87,16690443,22f3001350,"2026-08-10 13:06:08",0.04831,3,akshitasubramanian
88,16697546,23f2001876,"2026-08-10 16:15:09",0.04838,3,kunjvipulgoyal
89,16684116,22f3001642,"2026-08-10 17:21:11",0.04881,2,shreyanchaubey
90,16695387,23f1001168,"2026-08-09 20:56:44",0.04923,1,hamees25
91,16684048,23F2004165,"2026-08-10 06:54:25",0.04952,7,kummishifa
92,16684188,22F3002342,"2026-08-10 09:06:16",0.04979,15,divyansh9n0v
93,16698053,21f1002373,"2026-08-10 10:45:56",0.05000,1,jhapiyush44
94,16688528,"Himanshu Saini","2026-08-08 20:02:12",0.05088,1,himanshufromiitm
95,16691060,"Deepak Singh","2026-08-10 03:26:03",0.05141,2,deepaksingh451
96,16696484,22F3002319,"2026-08-09 23:22:33",0.05145,1,dhruv554
97,16686672,23f3000878,"2026-08-09 11:18:10",0.05186,2,md23f3000878
98,16691136,23f3002416,"2026-08-09 12:55:22",0.05222,3,puneetbajajiitm
99,16683884,22f3001912,"2026-08-10 13:56:08",0.05315,5,shramadeepd
100,16684625,21F3000014,"2026-08-10 10:46:18",0.05329,15,anandratna
101,16687263,RV,"2026-08-08 10:35:51",0.05335,1,rugmanivaidyananthan
102,16690192,23f2000288,"2026-08-09 16:18:53",0.05364,2,mdfaizkhaniitm
103,16686582,22f1001555,"2026-08-10 06:25:57",0.05426,2,abhijitnandi007
104,16685757,22f2000846,"2026-08-08 18:06:41",0.05593,4,chidanandhcna
105,16691526,21f1006516,"2026-08-09 20:47:11",0.05663,1,iitm21f1006516
106,16696122,21f1005206,"2026-08-10 07:50:19",0.05685,4,mdanzarrabbani
107,16697625,21f3002439,"2026-08-10 17:49:16",0.05706,2,amituchiha
108,16696731,21f3001839,"2026-08-10 17:26:16",0.05723,4,vikankshipatil31
109,16694178,23f1002495,"2026-08-10 18:14:50",0.05732,3,pbvakhilesh
110,16692229,23f2004912,"2026-08-10 17:11:27",0.05787,1,abhijeet23f2004912
111,16691680,21f3002112,"2026-08-09 17:21:38",0.05964,2,vimalpandey6388
112,16685356,"Abhay Kumar ee25s028","2026-08-09 03:21:01",0.06175,3,abhaykumaree25s028
113,16690078,23f1002044,"2026-08-09 10:03:46",0.06329,5,dnyaneswarwaychal
114,16683932,22F1001871,"2026-08-10 01:44:39",0.06372,4,lalluprasanthp
115,16688964,22f3001120,"2026-08-09 11:42:19",0.06589,3,sohamabhaypimprikar
116,16688110,23f2001923,"2026-08-09 20:20:29",0.06592,1,madhav240here
117,16684390,HARSHAVARDHAN1911,"2026-08-10 13:45:14",0.06654,2,harshavardhan1911
118,16698928,21f1007112,"2026-08-10 16:53:22",0.06940,2,maitryrai
119,16698832,21f2000306,"2026-08-10 18:19:38",0.07046,3,aganjali
120,16684203,21f1002300,"2026-08-10 15:09:50",0.07084,6,iitm21f1002300
121,16690716,23F2001475,"2026-08-10 18:13:20",0.07204,2,dilsingh2004
