Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16844364,21f1005265,"2026-09-07 05:56:09",39.62946,2,arjyadutta
2,16828253,22F1001871,"2026-09-07 15:20:33",39.59177,7,lalluprasanthp
3,16830885,21f2000987,"2026-09-05 14:58:05",39.59110,7,parashmanidatta
4,16828426,22f3002224,"2026-09-06 15:00:49",39.57769,9,iitms5mlp
5,16843251,23f1001898,"2026-09-06 18:04:48",39.57066,1,omkarpawar8
6,16842034,22f3002119,"2026-09-07 17:52:39",39.56349,5,kantpiyush2024
7,16831935,22f3001103,"2026-09-06 15:00:06",39.54022,6,kohilsharma
8,16831835,21f1000601,"2026-09-06 14:22:15",39.51930,2,rituparnodhar
9,16830870,22f3001534,"2026-09-07 14:26:41",39.51930,22,divyanshtiwarii
10,16832115,21f2000490,"2026-09-07 08:19:51",39.51813,17,bbalakrishnan
11,16831848,22f1001105,"2026-09-05 17:24:55",39.48965,11,gauravkumariitm
12,16827955,Dummy,"2026-09-05 11:38:03",39.48210,4,slyofzero
13,16827929,22f2001554,"2026-09-06 15:28:30",39.48172,8,ishanshishodiya
14,16832048,21f3001516,"2026-09-07 23:52:37",39.46836,8,tanishqsinghiitm
15,16841984,21f1001124,"2026-09-06 05:57:12",39.45912,1,sirius21f1001124
16,16827925,22f3002680,"2026-09-07 19:44:12",39.45618,12,somsubhrad
17,16828178,23F2001005,"2026-09-06 05:03:53",39.45164,6,akshatshethia
18,16839241,21f3002241,"2026-09-06 06:34:37",39.40991,1,rohitvishwasshinde
19,16839409,23f1001171,"2026-09-05 18:23:38",39.40771,2,piushdasss
20,16843214,"Bryan Robinson","2026-09-07 09:06:18",39.40590,1,brill1819
21,16828773,22f3002277,"2026-09-07 09:13:31",39.40590,6,bryandavidrobinson
22,16829852,MM22B056,"2026-09-06 18:43:55",39.39846,5,shrikm
23,16838527,23F1001572,"2026-09-07 17:20:28",39.39627,13,abhisheksaha407
24,16843388,23f3004148,"2026-09-06 14:36:59",39.38615,1,mohdshad
25,16828597,22f3000528,"2026-09-06 08:09:34",39.37995,21,muralidhar5613
26,16831069,23F2003853,"2026-09-06 10:02:24",39.37224,2,khprasath
27,16831356,22F3002319,"2026-09-07 13:03:28",39.36623,1,dhruv554
28,16828480,"Piush Das","2026-09-05 07:01:08",39.36541,2,testaccp
29,16828058,23F2004165,"2026-09-07 09:29:46",39.34659,6,kummishifa
30,16838450,21F1005420,"2026-09-06 07:14:44",39.34449,1,aishwaryayegneshwar
31,16832478,patraakash,"2026-09-05 03:57:57",39.34294,3,patraakash
32,16832472,23f3004144,"2026-09-05 06:09:12",39.34294,1,patraakash98
33,16839791,22f3001954,"2026-09-05 14:50:57",39.32513,1,srupat
34,16828979,21F2000709,"2026-09-07 12:04:28",39.31888,5,pradeepmnl
35,16848567,23F2002205,"2026-09-07 17:14:24",39.30710,2,pawarlalithseervi
36,16843625,22f3001454,"2026-09-06 13:49:14",39.28463,1,praveenanarayanan
37,16828256,22f3001517,"2026-09-07 17:46:29",39.28289,8,anant44
